,Keyword,LV1,Search UV,PDP UV,A2C_UV,Order_UV,GMV,ASP,ARPU,Found Number,E. Items,Cluster,PDP % of searches,A2C % of searches,ORDER % of searches
576,blankets for winter,Bedding & Bath,362.0,187.0,26.0,9.0,82.06,9.12,9.12,50640.0,1019.0,GM,51.66,7.18,2.49
578,decorating items for home,Furniture & Decor,361.0,158.0,27.0,6.0,39.98,3.33,6.66,530058.0,1148.0,GM,43.77,7.48,1.66
579,rgb lights,Furniture & Decor,361.0,220.0,90.0,34.0,166.62,4.5,4.9,56054.0,815.0,GM,60.94,24.93,9.42
580,printer,Computers & Laptops,360.0,167.0,24.0,3.0,541.84,108.37,180.61,101284.0,514.0,EL,46.39,6.67,0.83
581,xiaomi flagship store,"TV, Audio / Video, Gaming & Wearables",360.0,111.0,7.0,1.0,395.02,395.02,395.02,389234.0,309.0,EL,30.83,1.94,0.28
582,humidifier for room,Home Appliances,358.0,196.0,61.0,22.0,229.63,9.98,10.44,42256.0,2295.0,EL,54.75,17.04,6.15
583,ac cover,Home Appliances,358.0,200.0,109.0,60.0,183.9,2.74,3.06,18131.0,280.0,EL,55.87,30.45,16.76
584,gaming mouse,Computers & Laptops,358.0,227.0,92.0,35.0,203.94,5.37,5.83,34934.0,1243.0,EL,63.41,25.7,9.78
585,tecno spark 7 pro,Mobiles & Tablets,358.0,169.0,81.0,36.0,19617.07,116.77,544.92,990.0,188.0,EL,47.21,22.63,10.06
586,handfrees,"TV, Audio / Video, Gaming & Wearables",357.0,216.0,121.0,42.0,100.13,2.23,2.38,2474110.0,733.0,EL,60.5,33.89,11.76
587,gas heater,Home Appliances,357.0,201.0,32.0,7.0,97.2,12.15,13.89,4503.0,576.0,EL,56.3,8.96,1.96
588,ps4 games,"TV, Audio / Video, Gaming & Wearables",357.0,122.0,20.0,3.0,96.29,19.26,32.1,18396.0,778.0,EL,34.17,5.6,0.84
594,hair accessories,Fashion,356.0,105.0,32.0,7.0,20.62,1.87,2.95,466500.0,761.0,Fashion,29.49,8.99,1.97
591,poco f3,Mobiles & Tablets,356.0,196.0,80.0,22.0,18996.4,372.48,863.47,4192.0,625.0,EL,55.06,22.47,6.18
590,girl and boy sex,Health & Beauty,356.0,38.0,1.0,0.0,0.0,0.0,0.0,5450.0,140.0,FMCG,10.67,0.28,0.0
589,iron stand,Laundry & Cleaning,356.0,159.0,24.0,9.0,200.05,22.23,22.23,30422.0,771.0,GM,44.66,6.74,2.53
593,mobile cover,Mobiles & Tablets,355.0,72.0,3.0,0.0,0.0,0.0,0.0,5678369.0,423.0,EL,20.28,0.85,0.0
595,wall clock 3d,Furniture & Decor,355.0,218.0,119.0,65.0,294.2,3.54,4.53,15990.0,1028.0,GM,61.41,33.52,18.31
596,shirts,Fashion,355.0,80.0,9.0,2.0,11.59,5.79,5.79,805951.0,275.0,Fashion,22.54,2.54,0.56
592,belt for men,Fashion,355.0,143.0,37.0,14.0,68.62,4.9,4.9,79174.0,988.0,Fashion,40.28,10.42,3.94
597,grocery items,Groceries,354.0,81.0,5.0,1.0,0.68,0.68,0.68,939463.0,1206.0,FMCG,22.88,1.41,0.28
598,rolex watch for men,Watches Sunglasses Jewellery,354.0,159.0,13.0,2.0,23.35,11.68,11.68,488.0,451.0,Fashion,44.92,3.67,0.56
600,mirror for wall,Furniture & Decor,353.0,202.0,21.0,5.0,99.35,16.56,19.87,46850.0,468.0,GM,57.22,5.95,1.42
601,graphic card,Computers & Laptops,353.0,146.0,32.0,12.0,185.85,12.39,15.49,11696.0,530.0,EL,41.36,9.07,3.4
602,crockery,Kitchen & Dining,352.0,111.0,15.0,8.0,33.52,3.05,4.19,2798.0,1065.0,GM,31.53,4.26,2.27
603,t shirt for boys,Fashion,352.0,71.0,17.0,4.0,18.94,3.16,4.73,38018.0,888.0,Fashion,20.17,4.83,1.14
606,tea,Groceries,351.0,190.0,95.0,20.0,239.51,9.58,11.98,295871.0,1018.0,FMCG,54.13,27.07,5.7
599,a26,Mobiles & Tablets,351.0,282.0,70.0,169.0,10294.69,59.16,60.92,127285.0,120.0,EL,80.34,19.94,48.15
604,philips,Health & Beauty,351.0,89.0,18.0,5.0,177.57,35.51,35.51,30791.0,653.0,FMCG,25.36,5.13,1.42
609,cap shawl for girls,Fashion,350.0,162.0,24.0,5.0,48.42,8.07,9.68,6542.0,1051.0,Fashion,46.29,6.86,1.43
608,electronic items,Health & Beauty,350.0,20.0,3.0,0.0,0.0,0.0,0.0,403850.0,475.0,FMCG,5.71,0.86,0.0
607,earrings,Watches Sunglasses Jewellery,350.0,173.0,52.0,11.0,22.57,2.05,2.05,522409.0,1027.0,Fashion,49.43,14.86,3.14
605,leather jacket,Fashion,350.0,167.0,17.0,2.0,47.38,23.69,23.69,12922.0,568.0,Fashion,47.71,4.86,0.57
612,nighty sexy full hot,Fashion,348.0,159.0,21.0,6.0,49.32,5.48,8.22,18807.0,830.0,Fashion,45.69,6.03,1.72
610,iphone 10,Mobiles & Tablets,348.0,38.0,2.0,0.0,0.0,0.0,0.0,50008.0,130.0,EL,10.92,0.57,0.0
611,furniture,Furniture & Decor,347.0,149.0,22.0,3.0,151.81,50.6,50.6,1832488.0,813.0,GM,42.94,6.34,0.86
613,condoms,Health & Beauty,347.0,171.0,62.0,22.0,107.11,2.98,4.87,1422.0,610.0,FMCG,49.28,17.87,6.34
614,shawl for women,Fashion,347.0,196.0,33.0,7.0,65.21,8.15,9.32,38561.0,698.0,Fashion,56.48,9.51,2.02
615,mirror,Health & Beauty,346.0,110.0,13.0,4.0,7.78,1.56,1.95,497953.0,957.0,FMCG,31.79,3.76,1.16
616,watch for girls,Watches Sunglasses Jewellery,346.0,142.0,31.0,14.0,69.18,4.07,4.94,705598.0,640.0,Fashion,41.04,8.96,4.05
617,vape shisha,Motors,345.0,24.0,0.0,0.0,0.0,0.0,0.0,1489.0,301.0,GM,6.96,0.0,0.0
618,bts bag,Bags and Travel,344.0,160.0,30.0,14.0,171.5,11.43,12.25,686.0,528.0,Fashion,46.51,8.72,4.07
619,tablat,Mobiles & Tablets,344.0,134.0,15.0,2.0,292.83,146.41,146.41,6078384.0,261.0,EL,38.95,4.36,0.58
620,meezan cooking oil,Groceries,342.0,203.0,115.0,29.0,920.94,24.24,31.76,82.0,81.0,FMCG,59.36,33.63,8.48
621,changhong ruba,Home Appliances,342.0,162.0,90.0,32.0,13871.66,346.79,433.49,337.0,198.0,EL,47.37,26.32,9.36
622,vibrator for pussy,Health & Beauty,342.0,74.0,6.0,1.0,1.09,1.09,1.09,6695.0,691.0,FMCG,21.64,1.75,0.29
625,remington hair straightner,Health & Beauty,341.0,181.0,29.0,12.0,417.6,27.84,34.8,1945.0,424.0,FMCG,53.08,8.5,3.52
626,straightener,Health & Beauty,341.0,155.0,70.0,22.0,137.96,6.27,6.27,44293.0,819.0,FMCG,45.45,20.53,6.45
624,jewelery for girls,Watches Sunglasses Jewellery,341.0,154.0,24.0,9.0,26.16,2.18,2.91,555902.0,1018.0,Fashion,45.16,7.04,2.64
623,long coat for men,Fashion,341.0,194.0,13.0,4.0,50.81,12.7,12.7,15674.0,714.0,Fashion,56.89,3.81,1.17
627,mobail,Mobiles & Tablets,340.0,99.0,12.0,0.0,0.0,0.0,0.0,6176079.0,565.0,EL,29.12,3.53,0.0
628,earings,Watches Sunglasses Jewellery,340.0,176.0,58.0,11.0,29.66,2.28,2.7,521581.0,1018.0,Fashion,51.76,17.06,3.24
629,eyeshadow,Health & Beauty,340.0,183.0,76.0,30.0,136.39,3.69,4.55,88913.0,668.0,FMCG,53.82,22.35,8.82
630,gaming computer pc,Computers & Laptops,340.0,130.0,10.0,1.0,199.05,66.35,199.05,195388.0,356.0,EL,38.24,2.94,0.29
631,heels for girls,Fashion,339.0,133.0,6.0,0.0,0.0,0.0,0.0,16968.0,635.0,Fashion,39.23,1.77,0.0
632,durex,Health & Beauty,339.0,128.0,42.0,27.0,156.61,4.89,5.8,238.0,238.0,FMCG,37.76,12.39,7.96
633,name locket,Watches Sunglasses Jewellery,338.0,164.0,57.0,13.0,75.73,5.41,5.83,13406.0,1008.0,Fashion,48.52,16.86,3.85
634,sketch book,Stationery & Craft,338.0,188.0,64.0,21.0,46.22,2.2,2.2,5319.0,378.0,GM,55.62,18.93,6.21
635,baby toys,Toys & Games,335.0,135.0,21.0,6.0,33.3,3.7,5.55,450401.0,1024.0,GM,40.3,6.27,1.79
636,dawlance microwave oven,Home Appliances,335.0,206.0,80.0,29.0,4057.76,75.14,139.92,390.0,380.0,EL,61.49,23.88,8.66
637,supreme tea,Groceries,335.0,227.0,143.0,44.0,740.09,10.14,16.82,331.0,298.0,FMCG,67.76,42.69,13.13
638,pencil,Stationery & Craft,334.0,128.0,30.0,3.0,4.06,1.01,1.35,130933.0,828.0,GM,38.32,8.98,0.9
642,butterfly pads,Health & Beauty,333.0,189.0,86.0,27.0,167.64,3.9,6.21,5889.0,242.0,FMCG,56.76,25.83,8.11
641,free fire diamonds,Digital Goods,333.0,171.0,78.0,11.0,12.26,1.11,1.11,247354.0,290.0,Digital Goods,51.35,23.42,3.3
639,hangers for clothes,Laundry & Cleaning,333.0,215.0,101.0,41.0,93.34,1.83,2.28,58788.0,495.0,GM,64.56,30.33,12.31
640,lighter,Kitchen & Dining,333.0,162.0,33.0,15.0,43.5,2.9,2.9,55901.0,418.0,GM,48.65,9.91,4.5
644,dermacol foundation,Health & Beauty,332.0,221.0,129.0,72.0,206.41,2.46,2.87,261.0,242.0,FMCG,66.57,38.86,21.69
643,hand bags for girls,Bags and Travel,332.0,155.0,24.0,8.0,86.92,7.24,10.86,158994.0,1104.0,Fashion,46.69,7.23,2.41
645,nokia 105,Mobiles & Tablets,331.0,157.0,65.0,23.0,937.92,30.26,40.78,237.0,237.0,EL,47.43,19.64,6.95
646,earphones,"TV, Audio / Video, Gaming & Wearables",331.0,159.0,71.0,33.0,99.95,2.94,3.03,199956.0,2186.0,EL,48.04,21.45,9.97
647,garnier,Health & Beauty,331.0,90.0,26.0,13.0,54.94,2.89,4.23,521250.0,150.0,FMCG,27.19,7.85,3.93
648,roti maker,Home Appliances,331.0,153.0,21.0,3.0,79.02,26.34,26.34,1052.0,530.0,EL,46.22,6.34,0.91
649,water bottle pump,Kitchen & Dining,331.0,179.0,113.0,70.0,208.69,2.86,2.98,52462.0,599.0,GM,54.08,34.14,21.15
650,glases for men,Watches Sunglasses Jewellery,330.0,117.0,15.0,6.0,22.96,3.83,3.83,335883.0,653.0,Fashion,35.45,4.55,1.82
651,abaya for women,Fashion,330.0,164.0,11.0,2.0,26.05,13.02,13.02,57131.0,788.0,Fashion,49.7,3.33,0.61
653,rado watches for man,Watches Sunglasses Jewellery,330.0,100.0,9.0,0.0,0.0,0.0,0.0,118.0,117.0,Fashion,30.3,2.73,0.0
654,glue gun,"Tools, DIY & Outdoor",330.0,173.0,58.0,24.0,74.82,2.77,3.12,3573.0,1019.0,GM,52.42,17.58,7.27
658,xxx girl and boy,Health & Beauty,329.0,26.0,2.0,0.0,0.0,0.0,0.0,1426.0,410.0,FMCG,7.9,0.61,0.0
652,glasses,Watches Sunglasses Jewellery,329.0,140.0,35.0,10.0,24.52,2.23,2.45,2142965.0,562.0,Fashion,42.55,10.64,3.04
657,sweaters for girls,Fashion,328.0,117.0,10.0,0.0,0.0,0.0,0.0,20884.0,698.0,Fashion,35.67,3.05,0.0
655,office chair,Furniture & Decor,328.0,177.0,32.0,9.0,519.96,57.77,57.77,20864.0,987.0,GM,53.96,9.76,2.74
656,oppo f19 pro,Mobiles & Tablets,327.0,151.0,25.0,3.0,795.87,265.29,265.29,4890.0,209.0,EL,46.18,7.65,0.92
659,gaming pc,Computers & Laptops,327.0,157.0,15.0,1.0,195.81,195.81,195.81,235002.0,222.0,EL,48.01,4.59,0.31
661,coat for boys,Fashion,327.0,75.0,5.0,0.0,0.0,0.0,0.0,8453.0,738.0,Fashion,22.94,1.53,0.0
662,velvet dresses for women,Fashion,327.0,161.0,8.0,0.0,0.0,0.0,0.0,2796.0,728.0,Fashion,49.24,2.45,0.0
664,sunsilk shampoo,Health & Beauty,326.0,204.0,102.0,35.0,287.65,5.43,8.22,3856.0,824.0,FMCG,62.58,31.29,10.74
660,everyday,Groceries,326.0,198.0,128.0,55.0,742.65,9.4,13.5,100270.0,178.0,FMCG,60.74,39.26,16.87
663,daraz,Fashion,325.0,23.0,2.0,0.0,0.0,0.0,0.0,100458.0,221.0,Fashion,7.08,0.62,0.0
665,chair,Furniture & Decor,325.0,158.0,27.0,6.0,135.22,16.9,22.54,107430.0,1019.0,GM,48.62,8.31,1.85
666,college bags for girls,Bags and Travel,324.0,195.0,33.0,10.0,80.09,8.01,8.01,28611.0,1020.0,Fashion,60.19,10.19,3.09
667,sofa,Furniture & Decor,324.0,170.0,14.0,2.0,224.18,112.09,112.09,135928.0,721.0,GM,52.47,4.32,0.62
668,ssd,Computers & Laptops,324.0,177.0,58.0,10.0,323.88,26.99,32.39,19618.0,1087.0,EL,54.63,17.9,3.09
669,korean fire noodles,Groceries,323.0,181.0,70.0,23.0,98.21,2.89,4.27,1872.0,499.0,FMCG,56.04,21.67,7.12
670,power bank 20000 mah fast charging,Mobiles & Tablets,323.0,164.0,51.0,19.0,170.56,8.53,8.98,2393.0,424.0,EL,50.77,15.79,5.88
673,wrist watch for men,Watches Sunglasses Jewellery,323.0,169.0,46.0,21.0,76.69,3.49,3.65,818466.0,997.0,Fashion,52.32,14.24,6.5
671,cups for tea,Kitchen & Dining,322.0,125.0,25.0,5.0,24.39,4.88,4.88,136941.0,608.0,GM,38.82,7.76,1.55
672,vivo v21e,Mobiles & Tablets,322.0,187.0,69.0,11.0,2744.65,211.13,249.51,3561.0,1083.0,EL,58.07,21.43,3.42
674,spark 7,Mobiles & Tablets,321.0,234.0,172.0,58.0,17813.36,107.31,307.13,7241.0,108.0,EL,72.9,53.58,18.07
675,loreal,Health & Beauty,320.0,102.0,54.0,25.0,472.05,8.0,18.88,1105.0,488.0,FMCG,31.87,16.88,7.81
677,ladies bag,Bags and Travel,320.0,180.0,42.0,9.0,109.2,9.93,12.13,507259.0,1088.0,Fashion,56.25,13.12,2.81
680,cat house,Pet Supplies,319.0,171.0,46.0,12.0,94.57,7.88,7.88,37496.0,632.0,FMCG,53.61,14.42,3.76
684,tab,Mobiles & Tablets,319.0,153.0,23.0,3.0,202.21,67.4,67.4,5975512.0,291.0,EL,47.96,7.21,0.94
676,mobile holder,Mobiles & Tablets,319.0,132.0,43.0,18.0,37.41,1.97,2.08,183841.0,658.0,EL,41.38,13.48,5.64
679,tv,"TV, Audio / Video, Gaming & Wearables",319.0,124.0,31.0,6.0,2494.16,356.31,415.69,1463097.0,421.0,EL,38.87,9.72,1.88
678,racket,Sports & Outdoors,319.0,182.0,57.0,17.0,79.12,4.16,4.65,27442.0,328.0,GM,57.05,17.87,5.33
682,spinner,Toys & Games,318.0,117.0,35.0,15.0,35.16,2.34,2.34,33105.0,548.0,GM,36.79,11.01,4.72
681,frocks for girls,Fashion,318.0,64.0,2.0,0.0,0.0,0.0,0.0,9869.0,893.0,Fashion,20.13,0.63,0.0
683,bike 70cc,Motors,317.0,51.0,10.0,0.0,0.0,0.0,0.0,3903.0,315.0,GM,16.09,3.15,0.0
685,lip stick set,Health & Beauty,316.0,174.0,66.0,28.0,110.85,3.36,3.96,8892.0,580.0,FMCG,55.06,20.89,8.86
686,electric beater,Home Appliances,316.0,159.0,53.0,20.0,175.93,8.8,8.8,22762.0,878.0,EL,50.32,16.77,6.33
687,iphone 12 pro max mobile,Mobiles & Tablets,315.0,147.0,20.0,0.0,0.0,0.0,0.0,70466.0,170.0,EL,46.67,6.35,0.0
692,readme mobile,Mobiles & Tablets,314.0,88.0,13.0,1.0,195.25,195.25,195.25,140256.0,201.0,EL,28.03,4.14,0.32
694,wireless bluetooth handfree,"TV, Audio / Video, Gaming & Wearables",314.0,160.0,53.0,15.0,119.45,6.64,7.96,90146.0,1087.0,EL,50.96,16.88,4.78
693,guns for boys,Toys & Games,314.0,140.0,20.0,7.0,63.65,3.98,9.09,387.0,323.0,GM,44.59,6.37,2.23
695,winter coats for girls,Fashion,314.0,103.0,7.0,1.0,16.66,16.66,16.66,10051.0,671.0,Fashion,32.8,2.23,0.32
691,brush set,Health & Beauty,314.0,186.0,97.0,37.0,144.37,3.36,3.9,302275.0,683.0,FMCG,59.24,30.89,11.78
690,gaming chair,Furniture & Decor,314.0,140.0,29.0,7.0,923.92,131.99,131.99,1853.0,461.0,GM,44.59,9.24,2.23
689,led lights,Furniture & Decor,314.0,136.0,40.0,15.0,72.34,4.52,4.82,2868997.0,468.0,GM,43.31,12.74,4.78
688,iphone 12,Mobiles & Tablets,314.0,132.0,18.0,0.0,0.0,0.0,0.0,70453.0,250.0,EL,42.04,5.73,0.0
701,nail paint,Health & Beauty,313.0,183.0,55.0,23.0,80.58,2.52,3.5,17168.0,359.0,FMCG,58.47,17.57,7.35
696,powerbank,Mobiles & Tablets,313.0,198.0,69.0,26.0,214.53,7.66,8.25,36973.0,392.0,EL,63.26,22.04,8.31
697,jacket for men winter,Fashion,312.0,173.0,34.0,12.0,113.78,9.48,9.48,918316.0,1001.0,Fashion,55.45,10.9,3.85
698,honey,Groceries,312.0,190.0,89.0,26.0,220.6,7.61,8.48,34342.0,1018.0,FMCG,60.9,28.53,8.33
699,electric stove,Kitchen & Dining,312.0,184.0,22.0,3.0,55.32,11.06,18.44,6636.0,582.0,GM,58.97,7.05,0.96
700,diary for girls,Stationery & Craft,312.0,126.0,26.0,4.0,8.51,2.13,2.13,1698.0,719.0,GM,40.38,8.33,1.28
704,dryer machine,Home Appliances,312.0,60.0,15.0,1.0,68.64,68.64,68.64,181162.0,897.0,EL,19.23,4.81,0.32
702,auto matic washing machine,Home Appliances,311.0,175.0,36.0,6.0,1485.58,247.6,247.6,7644.0,479.0,EL,56.27,11.58,1.93
703,earphone,"TV, Audio / Video, Gaming & Wearables",310.0,136.0,60.0,26.0,76.71,2.26,2.95,599704.0,1147.0,EL,43.87,19.35,8.39
705,gionee handsfree,"TV, Audio / Video, Gaming & Wearables",310.0,215.0,116.0,47.0,143.4,2.76,3.05,3110.0,249.0,EL,69.35,37.42,15.16
706,fidget toy,Toys & Games,310.0,100.0,33.0,8.0,23.6,2.36,2.95,37264.0,599.0,GM,32.26,10.65,2.58
707,bona papa diaper,Mother & Baby,310.0,154.0,71.0,27.0,410.27,10.01,15.2,528.0,498.0,FMCG,49.68,22.9,8.71
708,bts album,Stationery & Craft,310.0,154.0,17.0,0.0,0.0,0.0,0.0,234.0,236.0,GM,49.68,5.48,0.0
709,vaccum cleaner,Home Appliances,310.0,152.0,35.0,12.0,911.31,65.09,75.94,368379.0,558.0,EL,49.03,11.29,3.87
711,lamp,Furniture & Decor,309.0,134.0,37.0,8.0,43.01,4.78,5.38,552556.0,518.0,GM,43.37,11.97,2.59
713,selfie stick,Mobiles & Tablets,309.0,182.0,60.0,29.0,109.48,3.42,3.78,12467.0,428.0,EL,58.9,19.42,9.39
710,1 rupee,"TV, Audio / Video, Gaming & Wearables",309.0,230.0,201.0,169.0,5.05,0.01,0.03,2687.0,300.0,EL,74.43,65.05,54.69
714,nighty,Fashion,308.0,152.0,24.0,9.0,61.21,6.8,6.8,18543.0,1294.0,Fashion,49.35,7.79,2.92
715,mattress,Furniture & Decor,308.0,172.0,40.0,10.0,961.58,73.97,96.16,31653.0,518.0,GM,55.84,12.99,3.25
716,sheet mask,Health & Beauty,308.0,201.0,103.0,47.0,173.02,3.2,3.68,4823.0,400.0,FMCG,65.26,33.44,15.26
717,shirts for boys,Fashion,308.0,69.0,7.0,4.0,27.07,3.38,6.77,48817.0,318.0,Fashion,22.4,2.27,1.3
719,kitchen,Kitchen & Dining,307.0,111.0,45.0,15.0,34.75,1.24,2.32,2324339.0,1369.0,GM,36.16,14.66,4.89
712,netflix,Digital Goods,307.0,152.0,54.0,24.0,47.88,1.92,2.0,2632.0,235.0,Digital Goods,49.51,17.59,7.82
718,coat,Fashion,307.0,98.0,12.0,1.0,6.17,6.17,6.17,379266.0,848.0,Fashion,31.92,3.91,0.33
721,tcl led,"TV, Audio / Video, Gaming & Wearables",306.0,158.0,49.0,12.0,7046.14,414.48,587.18,2069.0,260.0,EL,51.63,16.01,3.92
720,body spray,Health & Beauty,306.0,119.0,44.0,16.0,59.34,3.12,3.71,20066.0,536.0,FMCG,38.89,14.38,5.23
722,green mask stick,Health & Beauty,305.0,200.0,106.0,55.0,170.48,2.94,3.1,1383.0,491.0,FMCG,65.57,34.75,18.03
723,one rupee game today,Digital Goods,305.0,226.0,213.0,194.0,4.23,0.01,0.02,6.0,7.0,Digital Goods,74.1,69.84,63.61
724,infinix note 10,Mobiles & Tablets,305.0,154.0,54.0,6.0,1008.29,168.05,168.05,17896.0,247.0,EL,50.49,17.7,1.97
729,hoddies for men,Fashion,305.0,197.0,43.0,15.0,105.38,6.59,7.03,35437.0,808.0,Fashion,64.59,14.1,4.92
725,olive oil,Groceries,304.0,114.0,35.0,9.0,130.86,14.54,14.54,11917.0,348.0,FMCG,37.5,11.51,2.96
726,mobile phone samsung,Mobiles & Tablets,304.0,86.0,13.0,0.0,0.0,0.0,0.0,1014856.0,308.0,EL,28.29,4.28,0.0
727,headphones for mobile,"TV, Audio / Video, Gaming & Wearables",303.0,111.0,37.0,15.0,34.53,2.16,2.3,438444.0,458.0,EL,36.63,12.21,4.95
728,winter shoes for women,Fashion,303.0,76.0,5.0,0.0,0.0,0.0,0.0,17238.0,1018.0,Fashion,25.08,1.65,0.0
730,tablets,Mobiles & Tablets,303.0,157.0,25.0,3.0,392.77,130.92,130.92,5965571.0,325.0,EL,51.82,8.25,0.99
733,fake nails,Health & Beauty,302.0,174.0,62.0,23.0,57.26,2.05,2.49,1409.0,730.0,FMCG,57.62,20.53,7.62
739,shisha,Motors,302.0,45.0,5.0,2.0,5.96,2.98,2.98,24211.0,1038.0,GM,14.9,1.66,0.66
735,realme 8,Mobiles & Tablets,302.0,83.0,8.0,1.0,499.67,249.83,499.67,7920.0,183.0,EL,27.48,2.65,0.33
732,makeup deals,Health & Beauty,302.0,185.0,22.0,5.0,17.46,3.49,3.49,20929.0,690.0,FMCG,61.26,7.28,1.66
731,beater machine,Home Appliances,302.0,153.0,52.0,22.0,195.31,8.49,8.88,10746.0,608.0,EL,50.66,17.22,7.28
734,vivo y21,Mobiles & Tablets,301.0,156.0,37.0,5.0,1073.12,153.3,214.62,6606.0,200.0,EL,51.83,12.29,1.66
736,candles,Furniture & Decor,301.0,146.0,32.0,11.0,28.7,1.91,2.61,85288.0,1472.0,GM,48.5,10.63,3.65
737,ponds face wash,Health & Beauty,301.0,161.0,42.0,12.0,45.34,2.67,3.78,954.0,281.0,FMCG,53.49,13.95,3.99
738,shirt,Fashion,301.0,70.0,15.0,5.0,11.49,1.44,2.3,851333.0,1019.0,Fashion,23.26,4.98,1.66
742,sex doll toy for men pussy doll,Health & Beauty,300.0,27.0,0.0,0.0,0.0,0.0,0.0,6695.0,300.0,FMCG,9.0,0.0,0.0
743,skin care products,Health & Beauty,300.0,132.0,24.0,7.0,33.78,2.11,4.83,85776.0,1020.0,FMCG,44.0,8.0,2.33
741,pantene shampoo,Health & Beauty,300.0,220.0,156.0,79.0,1040.33,5.42,13.17,1020.0,612.0,FMCG,73.33,52.0,26.33
740,magnetic balls,Toys & Games,300.0,138.0,27.0,10.0,106.25,7.59,10.62,5579.0,473.0,GM,46.0,9.0,3.33
744,phone cover,Mobiles & Tablets,299.0,41.0,4.0,0.0,0.0,0.0,0.0,5679389.0,428.0,EL,13.71,1.34,0.0
745,xbox,"TV, Audio / Video, Gaming & Wearables",299.0,82.0,6.0,0.0,0.0,0.0,0.0,52354.0,348.0,EL,27.42,2.01,0.0
746,playstation,"TV, Audio / Video, Gaming & Wearables",299.0,103.0,8.0,0.0,0.0,0.0,0.0,64800.0,834.0,EL,34.45,2.68,0.0
747,real me,Mobiles & Tablets,298.0,123.0,36.0,7.0,1484.11,185.51,212.02,1219979.0,182.0,EL,41.28,12.08,2.35
750,cupboard,Furniture & Decor,298.0,157.0,26.0,7.0,262.38,29.15,37.48,413643.0,749.0,GM,52.68,8.72,2.35
752,bts accessories,Fashion,297.0,83.0,6.0,1.0,7.2,7.2,7.2,9890.0,517.0,Fashion,27.95,2.02,0.34
755,uc,Digital Goods,297.0,135.0,79.0,18.0,85.01,3.86,4.72,7910.0,172.0,Digital Goods,45.45,26.6,6.06
753,cars,Motors,297.0,91.0,12.0,0.0,0.0,0.0,0.0,1680157.0,288.0,GM,30.64,4.04,0.0
751,derma shine facial kit,Health & Beauty,297.0,182.0,75.0,37.0,381.52,9.54,10.31,918.0,293.0,FMCG,61.28,25.25,12.46
748,men clothes,Fashion,297.0,74.0,7.0,1.0,4.77,4.77,4.77,23308.0,488.0,Fashion,24.92,2.36,0.34
749,medora lipstick,Health & Beauty,297.0,150.0,56.0,17.0,66.69,1.8,3.92,163.0,163.0,FMCG,50.51,18.86,5.72
756,makeup bag,Health & Beauty,296.0,158.0,58.0,21.0,37.76,1.72,1.8,191170.0,594.0,FMCG,53.38,19.59,7.09
757,head fone,"TV, Audio / Video, Gaming & Wearables",296.0,133.0,46.0,11.0,56.58,5.14,5.14,451768.0,677.0,EL,44.93,15.54,3.72
758,baking accessories,Kitchen & Dining,296.0,142.0,47.0,8.0,50.74,3.38,6.34,227024.0,1026.0,GM,47.97,15.88,2.7
759,abaya,Fashion,296.0,136.0,14.0,1.0,11.05,11.05,11.05,64146.0,944.0,Fashion,45.95,4.73,0.34
760,vivo y20 back cover,Mobiles & Tablets,296.0,176.0,51.0,13.0,60.69,4.05,4.67,13110.0,548.0,EL,59.46,17.23,4.39
761,poco m3,Mobiles & Tablets,296.0,54.0,8.0,2.0,3.13,1.57,1.57,4669.0,262.0,EL,18.24,2.7,0.68
754,light for room,Furniture & Decor,296.0,94.0,28.0,12.0,34.31,2.64,2.86,254804.0,920.0,GM,31.76,9.46,4.05
768,blender machine,Home Appliances,295.0,113.0,23.0,4.0,69.99,17.5,17.5,13080.0,953.0,EL,38.31,7.8,1.36
771,vitamin c serum,Health & Beauty,295.0,150.0,67.0,31.0,139.7,3.99,4.51,4145.0,309.0,FMCG,50.85,22.71,10.51
767,bracelet for boys,Watches Sunglasses Jewellery,295.0,127.0,35.0,14.0,24.8,1.77,1.77,28545.0,700.0,Fashion,43.05,11.86,4.75
766,gym gloves,Sports & Outdoors,295.0,165.0,75.0,37.0,126.56,2.94,3.42,8424.0,528.0,GM,55.93,25.42,12.54
765,girls watches,Watches Sunglasses Jewellery,295.0,136.0,41.0,7.0,21.36,2.37,3.05,555183.0,658.0,Fashion,46.1,13.9,2.37
764,face wash for girls,Health & Beauty,295.0,145.0,45.0,17.0,55.92,2.66,3.29,36939.0,442.0,FMCG,49.15,15.25,5.76
763,mini bags for girls,Bags and Travel,295.0,119.0,19.0,2.0,13.02,6.51,6.51,16259.0,698.0,Fashion,40.34,6.44,0.68
762,13 pro max,Mobiles & Tablets,295.0,177.0,40.0,1.0,1689.51,1689.51,1689.51,22241.0,652.0,EL,60.0,13.56,0.34
769,kichan item,Kitchen & Dining,294.0,110.0,37.0,10.0,29.63,2.47,2.96,2322083.0,829.0,GM,37.41,12.59,3.4
770,pen for girls,Stationery & Craft,294.0,127.0,25.0,6.0,13.39,2.23,2.23,7316.0,388.0,GM,43.2,8.5,2.04
772,bluetooth handsfree,"TV, Audio / Video, Gaming & Wearables",293.0,158.0,67.0,23.0,101.49,4.06,4.41,115697.0,569.0,EL,53.92,22.87,7.85
