,Keyword,LV1,Search UV,PDP UV,A2C_UV,Order_UV,GMV,ASP,ARPU,Found Number,E. Items,Cluster,PDP % of searches,A2C % of searches,ORDER % of searches
347,iphone 7 plus,Mobiles & Tablets,487.0,68.0,11.0,2.0,9.31,4.65,4.65,64659.0,313.0,EL,13.96,2.26,0.41
348,computer,Computers & Laptops,487.0,169.0,25.0,4.0,3.38,0.34,0.84,989041.0,628.0,EL,34.7,5.13,0.82
349,vape smoke,Motors,487.0,35.0,2.0,1.0,1.93,1.93,1.93,47158.0,260.0,GM,7.19,0.41,0.21
350,lays,Groceries,486.0,249.0,125.0,35.0,924.82,8.89,26.42,27466.0,276.0,FMCG,51.23,25.72,7.2
351,i fone 12 pro max mobile,Mobiles & Tablets,486.0,123.0,12.0,0.0,0.0,0.0,0.0,31881.0,260.0,EL,25.31,2.47,0.0
352,rice,Groceries,486.0,316.0,223.0,95.0,964.43,6.94,10.15,57367.0,1021.0,FMCG,65.02,45.88,19.55
354,hoodie for boys,Fashion,484.0,234.0,43.0,15.0,150.59,7.53,10.04,8951.0,878.0,Fashion,48.35,8.88,3.1
355,cosmetic products,Health & Beauty,484.0,220.0,66.0,20.0,64.97,2.32,3.25,579761.0,1080.0,FMCG,45.45,13.64,4.13
353,hoddies for girls,Fashion,484.0,265.0,61.0,22.0,219.47,6.86,9.98,21357.0,1138.0,Fashion,54.75,12.6,4.55
356,food factory,Home Appliances,482.0,239.0,60.0,17.0,992.43,52.23,58.38,20026.0,483.0,EL,49.59,12.45,3.53
358,dawlance washing machine,Home Appliances,480.0,283.0,113.0,36.0,9319.6,221.9,258.88,560.0,268.0,EL,58.96,23.54,7.5
359,bags for girls college,Bags and Travel,477.0,220.0,34.0,6.0,44.42,7.4,7.4,120415.0,656.0,Fashion,46.12,7.13,1.26
357,bluetooth,"TV, Audio / Video, Gaming & Wearables",475.0,247.0,100.0,37.0,225.64,4.42,6.1,637434.0,1635.0,EL,52.0,21.05,7.79
360,men watches,Watches Sunglasses Jewellery,473.0,252.0,82.0,28.0,287.7,8.46,10.27,824440.0,1542.0,Fashion,53.28,17.34,5.92
361,trouser for men,Fashion,473.0,233.0,62.0,17.0,95.11,5.28,5.59,48150.0,859.0,Fashion,49.26,13.11,3.59
362,kurti for girls,Fashion,472.0,245.0,41.0,12.0,53.94,4.15,4.49,13613.0,710.0,Fashion,51.91,8.69,2.54
